word,ranking
chien,0.03406195364422041
some,0.033870774727022775
partit,0.03385764029759698
loup,0.03333956002580186
ceux,0.0333176693100922
grands,0.03326513159238904
aperçut,0.033167353062219254
long,0.03308416834252257
fond,0.03303892753005595
derrière,0.03300390238492051
hommes,0.03288423313904107
place,0.03277186079839818
joie,0.0326317602178564
released,0.032361774724104016
jeta,0.032355937199914774
hélas,0.03224940238346113
chacun,0.03221583661937299
demain,0.03219102714156872
voulait,0.03214870509119672
vrai,0.03205822346626349
bruit,0.03186850393011316
chemin,0.03179261611565303
jean,0.03144820218848782
première,0.03137231437402769
belles,0.03132415479946645
reste,0.03129496717852025
aucun,0.031141732168552674
besoin,0.030960768918686207
part,0.030900934295746488
mettre,0.030746239904731604
maintenant,0.030641164469325268
cher,0.030393069691282533
