word,count
jeanne,8123
rivière,8118
revoir,8108
poussa,8108
mauvaise,8102
partirent,8081
lettre,8061
capitaine,8049
assit,8042
années,8031
apporter,7980
marraine,7977
année,7960
navire,7955
brave,7940
diamants,7916
second,7861
lait,7852
jambes,7842
feuilles,7842
sois,7832
laissé,7823
joyeux,7820
read,7797
pensait,7795
marché,7788
tirer,7780
reçu,7771
regardant,7758
content,7726
ajouta,7709
trou,7693
soyez,7691
regards,7689
appeler,7682
eurent,7665
pensée,7664
prix,7645
prenez,7620
aîné,7607
grandes,7592
volontiers,7590
couleur,7571
pont,7557
inquiétude,7545
sabre,7538
conduisit,7536
mademoiselle,7535
parti,7534
apprendre,7534
danser,7500
doux,7499
frapper,7493
manteau,7489
demeure,7465
aigle,7460
silence,7458
ayez,7455
fallut,7439
sourire,7422
dormait,7417
étrange,7415
famille,7413
méchant,7412
selon,7404
garder,7372
rivage,7371
ombre,7364
puits,7362
allèrent,7348
marchand,7348
crut,7344
rosalie,7344
tranquillement,7334
festins,7298
soldats,7272
compagnons,7233
merveilleux,7231
parlait,7225
bonnes,7201
celles,7185
saint,7172
grosse,7155
marguerite,7155
puisqu,7139
présence,7125
jeté,7118
avança,7103
chapeau,7101
voisin,7100
marcher,7100
serai,7097
fêtes,7091
tranquille,7088
room,7073
criait,7066
nombre,7063
seras,7059
jette,7058
large,7054
serais,7050
jeter,7025
mouton,7020
crapaud,7019
panier,7018
rose,7015
genoux,7011
voit,7008
tantôt,7002
chiens,6999
intérieur,6999
bons,6976
rendu,6974
cadmus,6965
quitter,6963
face,6955
paysan,6955
efflam,6954
parrain,6948
aurai,6948
vont,6943
sage,6925
dormir,6917
secret,6913
enlever,6910
laissez,6902
montra,6891
coin,6891
pomme,6873
regarde,6872
levant,6855
empereur,6851
demandait,6849
fera,6838
riches,6824
devenir,6803
donnait,6795
reçut,6794
rempli,6788
entendait,6787
cabinet,6783
foule,6782
reconnut,6768
prenant,6768
devenu,6758
autrefois,6757
suivre,6747
occasion,6745
énorme,6738
sommeil,6737
question,6732
crainte,6724
verrez,6719
tellement,6716
langue,6715
meilleur,6702
difficile,6693
prêt,6679
certainement,6678
retrouver,6672
oublié,6656
dedans,6653
unique,6651
donnez,6644
dessous,6641
prenait,6627
faite,6618
nouvelles,6610
promis,6607
tenant,6604
semblable,6596
cabane,6578
poissons,6574
fidèle,6541
éclat,6533
froid,6531
charles,6524
lever,6520
impossible,6514
nature,6503
charmant,6496
criant,6484
promener,6478
douze,6473
bihanic,6466
portes,6461
compagnon,6460
verre,6458
chêne,6455
ouvrage,6445
jason,6445
